"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","50289763439093440_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50292647891314368_1","2024-08-01","Telangana","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Blue)","Blue/12","Free Size","1","203.0","203.0",
"DELIVERED","50293429910906560_1","2024-08-01","Tamil Nadu","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"CANCELLED","50294020103614016_1","2024-08-01","Himachal Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Multicolor)","WK/NewPotStand/Multi/16","Free Size","1","263.0","263.0",
"RTO_COMPLETE","50296886619775744_1","2024-08-01","Punjab","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50305284461045632_1","2024-08-01","Punjab","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50306437586854912_1","2024-08-01","Delhi","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50320384869412480_1","2024-08-01","West Bengal","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","225.0",
"DELIVERED","50391802054157312_1","2024-08-01","Telangana","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Red, 4 Pack)","NV/NewPotStand/Red/4","Free Size","1","73.0","73.0",
"RTO_COMPLETE","50394282829784064_1","2024-08-01","Uttarakhand","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50397488886065088_1","2024-08-01","Kerala","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50406510539976320_1","2024-08-01","Karnataka","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50412814699307968_1","2024-08-01","Andhra Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50416583906403328_1","2024-08-01","Tamil Nadu","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","105.0",
"DELIVERED","50418289557873600_1","2024-08-01","Andhra Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50421419231684545_1","2024-08-01","Maharashtra","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50422728118382208_1","2024-08-01","Rajasthan","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50424497259423680_1","2024-08-01","Telangana","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50424673284367297_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","73.0","73.0",
"DELIVERED","50424876934603648_1","2024-08-01","Gujarat","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50425499520312256_1","2024-08-01","Jharkhand","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50425594827481984_1","2024-08-01","Odisha","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50425940624287680_1","2024-08-01","Odisha","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","160.0",
"DELIVERED","50428071330328192_1","2024-08-01","Telangana","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 5 (Yellow)","WK/NewPotStand/Yellow/5","Free Size","1","114.0","103.0",
"DELIVERED","50428299349862338_1","2024-08-01","Tamil Nadu","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 6 (Red)","Red/6","Free Size","1","124.0","112.0",
"DELIVERED","50430183203120064_1","2024-08-01","Jammu & Kashmir","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50430895393351552_1","2024-08-01","West Bengal","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","72.0","65.0",
"DELIVERED","50431123473802112_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 5 (Yellow)","WK/NewPotStand/Yellow/5","Free Size","1","114.0","103.0",
"DELIVERED","50431297005956736_1","2024-08-01","Madhya Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50431229946209216_1","2024-08-01","West Bengal","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","160.0",
"DELIVERED","50433371343922176_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","225.0",
"RTO_COMPLETE","50440938799473600_1","2024-08-01","Gujarat","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Multicolor)","WK/NewPotStand/Multi/16","Free Size","1","282.0","282.0",
"DELIVERED","50442810571763328_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50443684931937152_1","2024-08-01","Delhi","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50444562195784704_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50444922613934016_1","2024-08-01","Rajasthan","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"RTO_COMPLETE","50446673064373888_1","2024-08-01","Telangana","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50446868358341504_1","2024-08-01","Rajasthan","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Blue)","Blue/12","Free Size","1","203.0","183.0",
"DELIVERED","50449364757750657_1","2024-08-01","Karnataka","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"CANCELLED","50449842015019904_1","2024-08-01","Tamil Nadu","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50451862490948480_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50454491356081792_1","2024-08-01","Tamil Nadu","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50456906872924032_1","2024-08-01","Karnataka","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 5 (Yellow)","WK/NewPotStand/Yellow/5","Free Size","1","114.0","114.0",
"DELIVERED","50457482904445952_1","2024-08-01","Gujarat","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","78.0",
"DELIVERED","50458161963870144_1","2024-08-01","Andhra Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","234.0",
"DELIVERED","50459141991968386_1","2024-08-01","Karnataka","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"RTO_COMPLETE","50460612903805952_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","72.0","72.0",
"DELIVERED","50462967164053376_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","71.0",
"DELIVERED","50463099144610688_1","2024-08-01","Andhra Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Red)","Red/12","Free Size","1","210.0","210.0",
"DELIVERED","50468815483447232_1","2024-08-01","Uttar Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","234.0",
"DELIVERED","50470237667075968_1","2024-08-01","Bihar","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","217.0",
"DELIVERED","50471597832119233_1","2024-08-01","West Bengal","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","234.0",
"DELIVERED","50472575765063616_1","2024-08-01","Delhi","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"RTO_COMPLETE","50475524411107200_1","2024-08-01","Delhi","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50479180698758784_1","2024-08-01","Andhra Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Red)","WK/NewPotStand/Red/16","Free Size","1","282.0","254.0",
"DELIVERED","50480309149868992_1","2024-08-01","Uttarakhand","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50481357144467328_1","2024-08-01","Tamil Nadu","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Green)","Green/12","Free Size","1","203.0","203.0",
"DELIVERED","50482634157433728_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50483627944455808_1","2024-08-01","punjab","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Multi, 4 Pack)","NV/NewPotStand/Multi/4","Free Size","1","73.0","73.0",
"DELIVERED","50483647966848000_1","2024-08-01","Rajasthan","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"RTO_COMPLETE","50486050267046784_1","2024-08-01","Odisha","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50494554054829056_1","2024-08-01","Karnataka","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","234.0",
"DELIVERED","50498818403705792_1","2024-08-01","Delhi","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Multicolor)","WK/NewPotStand/Multi/16","Free Size","1","263.0","237.0",
"DELIVERED","50505716109815424_1","2024-08-01","Kerala","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Green, 4 Pack)","NV/NewPotStand/Green/4","Free Size","1","73.0","66.0",
"DELIVERED","50510605532014529_1","2024-08-01","Telangana","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50517082497769600_1","2024-08-01","Karnataka","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","95.0",
"DELIVERED","50517887145748352_1","2024-08-01","Punjab","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Red, 4 Pack)","NV/NewPotStand/Red/4","Free Size","1","73.0","66.0",
"DELIVERED","50518888173511552_1","2024-08-01","Haryana","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","95.0",
"DELIVERED","50519425883284416_1","2024-08-01","Andhra Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50520251641078656_1","2024-08-01","Karnataka","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","95.0",
"DELIVERED","50520400979272576_1","2024-08-01","Karnataka","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Red, 4 Pack)","NV/NewPotStand/Red/4","Free Size","1","73.0","66.0",
"DELIVERED","50522309559559168_1","2024-08-01","West Bengal","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","72.0",
"DELIVERED","50522654349340289_1","2024-08-01","Uttar Pradesh","Nivasam 100% Pure Cotton Double Bed Bedsheet with 2 Pillow Covers (90"" X 100"")","NV/JaipurBedsheet/DB/D2","Double","1","300.0","300.0",
"DELIVERED","50528387609371648_1","2024-08-01","Telangana","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","95.0",
"RTO_COMPLETE","50529679079006336_1","2024-08-01","Karnataka","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50529963963032448_1","2024-08-01","Tamil Nadu","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","72.0",
"RTO_COMPLETE","50530241673584768_1","2024-08-01","Telangana","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","90.0","81.0",
"DELIVERED","50530736776127360_1","2024-08-01","Uttar Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50531538300723328_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","72.0",
"DELIVERED","50536919423493120_1","2024-08-01","Karnataka","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","72.0",
"DELIVERED","50541209315681216_1","2024-08-01","Delhi","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","72.0",
"RTO_COMPLETE","50544088059454336_1","2024-08-01","Chhattisgarh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Red)","WK/NewPotStand/Red/16","Free Size","1","282.0","282.0",
"DELIVERED","50544114177385472_1","2024-08-01","Telangana","Trendy Personal Pot Stand(Pack Of 5)","1","Free Size","1","105.0","95.0",
"DELIVERED","50553304593703936_1","2024-08-01","Jharkhand","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50553481716574144_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","73.0","73.0",
"DELIVERED","50554627854672897_1","2024-08-01","Tamilnadu","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","78.0",
"DELIVERED","50562343550725760_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50563975814850432_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"CANCELLED","50565285816017856_1","2024-08-01","Rajasthan","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50567499567081344_1","2024-08-01","Tamil Nadu","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50569638267856832_1","2024-08-01","Uttar Pradesh","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","73.0","73.0",
"SHIPPED","50570009617343488_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"CANCELLED","50570066311750528_1","2024-08-01","West Bengal","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50570790143763456_1","2024-08-01","Maharashtra","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Yellow, 4 Pack)","NV/NewPotStand/Yellow/4","Free Size","1","73.0","73.0",
"DELIVERED","50579208183194624_1","2024-08-01","Tamil Nadu","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50584006929834112_1","2024-08-01","West Bengal","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50586721478913664_1","2024-08-01","Kerala","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","225.0",
"DELIVERED","50589201399293892_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"RTO_COMPLETE","50591121583612864_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50591738909664128_1","2024-08-01","Uttarakhand","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50592293649917824_1","2024-08-01","Andhra Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50599701883888576_1","2024-08-01","Gujarat","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","78.0",
"DELIVERED","50599841780704195_1","2024-08-01","Delhi","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50607193376400384_1","2024-08-01","Uttarakhand","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","78.0",
"DELIVERED","50612111157406976_1","2024-08-01","Assam","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Green, 4 Pack)","NV/NewPotStand/Green/4","Free Size","1","73.0","73.0",
"DELIVERED","50615108759463872_1","2024-08-01","Odisha","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","78.0",
"DELIVERED","50619185375390976_1","2024-08-01","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50629380575078336_1","2024-08-01","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","80.0",
"DELIVERED","50634521590604738_1","2024-08-01","Delhi","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","178.0",
"DELIVERED","50642157224567680_1","2024-08-01","Maharashtra","Nivasam Flower Pot Stand for garden | Flower Pot Stand Balcony | Flower Stand For Living Room | Pot Stand For Home | (Red, 4 Pack)","NV/NewPotStand/Red/4","Free Size","1","73.0","73.0",
"DELIVERED","50644785421591489_1","2024-08-01","Gujarat","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50648168602939008_1","2024-08-01","West Bengal","Manoyog Exta Large Waterproof Baby Play Mat BPA Free - Reversible, Non-Toxic XPE Foam Travell Bag Included (6.5x5 ft) (0.6 cm Thickness) (Lions and Zebras)","NV/PlayMat.6/LionZebra","Free Size","1","585.0","562.0",
"DELIVERED","50655562836714432_1","2024-08-02","Uttar Pradesh","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50656999110520064_1","2024-08-02","Karnataka","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","225.0",
"DELIVERED","50660468240426944_1","2024-08-02","Assam","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50730752597795840_1","2024-08-02","Tamil Nadu","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50757180120377280_1","2024-08-02","West Bengal","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Red)","WK/NewPotStand/Red/16","Free Size","1","263.0","250.0",
"DELIVERED","50757538467521408_1","2024-08-02","Karnataka","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","197.0","184.0",
"DELIVERED","50769967030643968_1","2024-08-02","Rajasthan","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50770948145458432_1","2024-08-02","Andhra Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","241.0","225.0",
"DELIVERED","50771452795824000_1","2024-08-02","Uttar Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50772597433871616_1","2024-08-02","Maharashtra","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50781520000426944_1","2024-08-02","Puducherry","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","75.0",
"DELIVERED","50781702097644800_1","2024-08-02","Punjab","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","78.0","75.0",
"RTO_COMPLETE","50782592152609728_1","2024-08-02","Puducherry","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50782688223360001_1","2024-08-02","Kerala","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50784123472028608_1","2024-08-02","Gujarat","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
"DELIVERED","50787770276750336_1","2024-08-02","Rajasthan","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50788546887200000_1","2024-08-02","Rajasthan","Nivasam Luxury Designer Ultrasonic King Double Quilted Reversible Comforter Bedcover Bedspread Ultra Premium Luxury Quilts (Design4)","NV/ChinaComforter/Design4","Double","1","999.0","999.0",
"DELIVERED","50789416868443136_1","2024-08-02","Andhra Pradesh","Nivasam Soft Paper Tissue for home, kitchen, office (400 Pieces)","NV/TissuePaper/1ply/4Box","Free Size","1","80.0","76.0",
"DELIVERED","50789425869419520_1","2024-08-02","Maharashtra","Nivasam Rust Free Plant Container, Holds Upto 60 Kgs-Pack of 12 (Multicolor))","Multi/12","Free Size","1","177.0","165.0",
"DELIVERED","50790480870876160_1","2024-08-02","Uttar Pradesh","Nivasam Flower Pot Stand for garden, living room, balcony,, Holds Upto 60 Kg-Pack of 16 (Blue)","WK/NewPotStand/Blue/16","Free Size","1","260.0","242.0",
